,objID,Mean,Std,Status
0,45869,1.0003987558816492,0.019964891068976667,ok
1,12471,1.0004187020237265,0.02045792541637043,ok
2,19985,1.0002790957298353,0.01670382696895898,ok
3,51711,1.0006581177831402,0.02564536340400997,ok
4,20842,1.0005583472920156,0.0236227758808556,ok
5,38605,1.0004386489611996,0.02093935405613899,ok
6,3107,1.0004187020237265,0.02045792541637043,ok
7,15183,1.0003788105349203,0.01945936888747894,ok
8,18948,1.0005782997985921,0.02404091029755502,ok
9,26099,1.0003788105349203,0.01945936888747894,ok
10,27165,1.0003189792663476,0.017857141948680585,ok
11,8612,1.0002790957298353,0.01670382696895898,ok
12,28048,1.0004984945464697,0.022321425798026474,ok
13,7493,1.000518444666002,0.022763476912156636,ok
14,37937,1.0004187020237265,0.02045792541637043,ok
15,16367,1.0004386489611996,0.02093935405613899,ok
16,37253,1.0004187020237265,0.02045792541637043,ok
17,38845,1.0005782997985921,0.02404091029755502,ok
18,51675,1.000518444666002,0.022763476912156636,ok
19,37579,1.0003189792663476,0.017857141948680585,ok
20,16558,1.0000996591656535,0.009982446278551485,ok
21,39481,1.0006182071991225,0.024856086155738543,ok
22,223,1.0002990371005362,0.017290103451072122,ok
23,41298,1.0004187020237265,0.02045792541637043,ok
24,41128,1.0003788105349203,0.01945936888747894,ok
25,4151,1.0004386489611996,0.02093935405613899,ok
26,11444,1.010065222642725,0.7860170734629859,ko
27,3740,1.0003189792663476,0.017857141948680585,ok
28,33593,1.0004785452225236,0.021870441627766198,ok
29,12505,1.0004785452225236,0.021870441627766198,ok
30,36428,1.0003788105349203,0.01945936888747894,ok
31,12535,1.0003987558816492,0.019964891068976667,ok
32,34436,1.0004785452225236,0.021870441627766198,ok
33,32938,1.000358865983492,0.018940358990738714,ok
34,15208,1.0003987558816492,0.019964891068976667,ok
35,10693,1.0004187020237265,0.02045792541637043,ok
36,30006,1.000458596694116,0.021409959906271446,ok
37,15694,1.0004187020237265,0.02045792541637043,ok
38,20224,1.0003389222273171,0.01840672048576177,ok
39,29366,1.0011572688455246,0.033998964312810194,ok
40,22510,1.0005383955811682,0.023197105667869384,ok
41,45636,1.0003788105349203,0.01945936888747894,ok
42,14912,1.0003987558816492,0.019964891068976667,ok
43,45137,1.000458596694116,0.021409959906271446,ok
44,45893,1.0002990371005362,0.017290103451072122,ok
45,27860,1.0002990371005362,0.017290103451072122,ok
46,49701,1.0004785452225236,0.021870441627766198,ok
47,27693,1.0004187020237265,0.02045792541637043,ok
48,51342,1.0003389222273171,0.01840672048576177,ok
49,10672,1.000358865983492,0.018940358990738714,ok
50,14122,1.000458596694116,0.021409959906271446,ok
51,7221,1.0002990371005362,0.017290103451072122,ok
52,26841,1.000518444666002,0.022763476912156636,ok
53,33659,1.0004785452225236,0.021870441627766198,ok
54,10457,1.000518444666002,0.022763476912156636,ok
55,31692,1.0003389222273171,0.01840672048576177,ok
56,48726,1.0004386489611996,0.02093935405613899,ok
57,15486,1.0002790957298353,0.01670382696895898,ok
58,33245,1.0003389222273171,0.01840672048576177,ok
59,39984,1.0004187020237265,0.02045792541637043,ok
60,9116,1.0006182071991225,0.024856086155738543,ok
61,38472,1.001596933886937,0.03992973439803767,ok
62,463,1.0002990371005362,0.017290103451072122,ok
63,15695,1.0003788105349203,0.01945936888747894,ok
64,30923,1.0003987558816492,0.019964891068976667,ok
65,23340,1.0008577184688727,0.02927426835808119,ok
66,27381,1.0002790957298353,0.01670382696895898,ok
67,35604,1.0004187020237265,0.02045792541637043,ok
68,39830,1.0007379485031611,0.027155182473478142,ok
69,32773,1.0004386489611996,0.02093935405613899,ok
70,39114,1.0002790957298353,0.01670382696895898,ok
71,2002,1.0004386489611996,0.02093935405613899,ok
72,28009,1.000458596694116,0.021409959906271446,ok
73,15027,1.0129607946057253,0.32777259868045217,ko
74,8057,1.0020970222284356,0.16868666184285427,ok
75,48930,1.0003189792663476,0.017857141948680585,ok
76,19476,1.0002790957298353,0.01670382696895898,ok
77,35068,1.0004386489611996,0.02093935405613899,ok
78,22786,1.000458596694116,0.021409959906271446,ok
79,31761,1.0003987558816492,0.019964891068976667,ok
80,43598,1.000698031551026,0.026411064025894125,ok
81,20597,1.0004785452225236,0.021870441627766198,ok
82,51786,1.0003189792663476,0.017857141948680585,ok
83,4343,1.000358865983492,0.018940358990738714,ok
84,40317,1.0004386489611996,0.02093935405613899,ok
85,21909,1.0107570202650982,0.8676144533579684,ko
86,13899,1.0004187020237265,0.02045792541637043,ok
87,2858,1.0016569181322739,0.04115942774995781,ok
88,7949,1.0005782997985921,0.02404091029755502,ok
89,7827,1.0003389222273171,0.01840672048576177,ok
90,2087,1.2847522724363079,49.12569824321272,ko
91,34910,1.000518444666002,0.022763476912156636,ok
92,36610,1.0002192763879199,0.01480636031526875,ok
