lr,batch_size,epochs,weight_decay,model_depth,train_loss,val_loss,mse_e_ring,mse_gamma_1,mse_gamma_2,mse_ex,mse_ey,R2_r_Einstein,R2_gamma1,R2_gamma2,R2_ex,R2_ey,w_r_Einstein,w_gamma1,w_gamma2,w_ex,w_ey,comments
0.001,32,20,0,3,0.0139005774546114,0.0153683342896129,0.0125,0.0234,0.023,0.004,0.0033,0.8463519662618637,0.1138690710067749,0.0949738621711731,0.6151532530784607,0.5885908305644989,1.0,1.0,1.0,1.0,1.0,RESNETMINI
0.001,32,20,0,3,0.0037068746978897,0.0039842871984766,0.0167,0.0261,0.0258,0.0055,0.0048,0.7993937283754349,0.0132983922958374,0.0082439184188842,0.4357711672782898,0.4011427164077759,0.2000000029802322,0.3000000119209289,0.3000000119209289,0.1000000014901161,0.1000000014901161,RESNETMINI
0.001,32,20,0,3,0.0049813545681025,0.0100214464681726,1.1234,1.0446,1.4692,1.3997,1.6677,-12.386384963989258,-38.81965637207031,-54.85365676879883,-138.49156188964844,-204.67843627929688,1.0,1.0,1.0,1.0,1.0,HOLISMOKES RESNET
